summary_id,type,return_period,loss
1,2,33.333333,155956.781250
1,2,32.258065,155883.921875
1,2,31.250000,155679.406250
1,2,30.303030,155553.796875
1,2,29.411765,154976.406250
1,2,28.571429,154836.203125
1,2,27.777778,154770.609375
1,2,27.027027,154613.781250
1,2,26.315789,154590.078125
1,2,25.641026,154143.000000
1,2,25.000000,153586.890625
1,2,24.390244,153382.312500
1,2,23.809524,153126.109375
1,2,23.255814,152969.953125
1,2,22.727273,152736.765625
1,2,22.222222,152325.734375
1,2,21.739130,152300.734375
1,2,21.276596,152282.546875
1,2,20.833333,151883.500000
1,2,20.408163,151728.953125
1,2,20.000000,151370.640625
1,2,19.607843,151355.484375
1,2,19.230769,151313.046875
1,2,18.867925,151233.171875
1,2,18.518519,150292.734375
1,2,18.181818,150207.859375
1,2,17.857143,149699.406250
1,2,17.543860,148920.656250
1,2,17.241379,148788.515625
1,2,16.949153,148622.750000
1,2,16.666667,148406.421875
1,2,16.393443,148280.703125
1,2,16.129032,148192.796875
1,2,15.873016,148040.187500
1,2,15.625000,147936.406250
1,2,15.384615,147892.843750
1,2,15.151515,147847.281250
1,2,14.925373,147477.906250
1,2,14.705882,147324.031250
1,2,14.492754,147056.406250
1,2,14.285714,146732.640625
1,2,14.084507,146581.718750
1,2,13.888889,146559.078125
1,2,13.698630,146220.187500
1,2,13.513514,145958.468750
1,2,13.333333,145866.609375
1,2,13.157895,145739.031250
1,2,12.987013,145708.281250
1,2,12.820513,145686.968750
1,2,12.658228,145066.671875
1,2,12.500000,144732.453125
1,2,12.345679,144476.890625
1,2,12.195122,144386.546875
1,2,12.048193,144292.343750
1,2,11.904762,144281.093750
1,2,11.764706,144204.125000
1,2,11.627907,144009.765625
1,2,11.494253,143077.312500
1,2,11.363636,142943.718750
1,2,11.235955,142671.171875
1,2,11.111111,142624.046875
1,2,10.989011,142543.203125
1,2,10.869565,141971.687500
1,2,10.752688,141768.406250
1,2,10.638298,141484.500000
1,2,10.526316,141478.375000
1,2,10.416667,141169.500000
1,2,10.309278,141117.140625
1,2,10.204082,140934.937500
1,2,10.101010,140893.046875
1,2,10.000000,140707.734375
1,2,9.900990,140556.890625
1,2,9.803922,140402.125000
